,drug,cell_line,IC50
28602,Fulvestrant,KP2,4.57983
28603,GNE-317,KP2,1.629426
28604,GSK-LSD1,KP2,3.142795
28605,GSK1904529A,KP2,6.521008
28606,GSK2110183B,KP2,5.260746
28607,GSK2578215A,KP2,6.392379
28608,GSK2606414,KP2,5.117854
28609,GSK2801,KP2,4.898122
28610,GSK2830371,KP2,6.446058
28611,GSK591,KP2,6.003943
28612,GW441756,KP2,4.051004
28613,Gallibiscoquinazole,KP2,3.340913
28614,Gefitinib,KP2,4.874501
28615,Gemcitabine,KP2,2.614661
28616,I-BET-762,KP2,6.427694
28617,I-BRD9,KP2,6.493853
28618,ICL-SIRT078,KP2,4.758574
28619,IWP-2,KP2,3.436142
28620,Ibrutinib,KP2,5.414003
28621,Ipatasertib,KP2,6.019639
28622,Irinotecan,KP2,4.318268
28623,JNK Inhibitor VIII,KP2,5.968143
28624,JQ1,KP2,4.264636
28625,KRAS (G12C) Inhibitor-12,KP2,6.411682
28626,KU-55933,KP2,6.481528
28627,L-Oxonoreleagnine,KP2,4.170321
28628,LCL161,KP2,5.843427
28629,LGK974,KP2,4.474676
28630,LJI308,KP2,5.350866
28631,LY2109761,KP2,6.331515
28632,Lapatinib,KP2,5.924485
28633,Leflunomide,KP2,4.54038
28634,Lenalidomide,KP2,6.359997
28635,Lestaurtinib,KP2,1.748321
28636,Linsitinib,KP2,4.87792
28637,MG-132,KP2,-0.985949
28638,MIM1,KP2,5.755747
28639,MIRA-1,KP2,6.703458
28640,MK-1775,KP2,0.969286
28641,MK-2206,KP2,5.043195
28642,MK-8776,KP2,5.338412
28643,ML323,KP2,5.431051
28644,MN-64,KP2,5.717759
28645,Methotrexate,KP2,3.536864
28646,Mitoxantrone,KP2,4.217812
28647,Motesanib,KP2,5.987381
28648,Mycophenolic acid,KP2,3.611895
28649,N-acetyl cysteine,KP2,9.078548
28650,NU7441,KP2,5.56558
28651,NVP-ADW742,KP2,3.502359
28652,Navitoclax,KP2,0.648742
28653,Nelarabine,KP2,6.341616
28654,Nilotinib,KP2,5.216995
28655,Niraparib,KP2,6.374482
28656,Nutlin-3a (-),KP2,6.330792
28657,OF-1,KP2,4.007055
28658,OSI-027,KP2,3.223154
28659,OTX015,KP2,6.098624
28660,Obatoclax Mesylate,KP2,1.184638
28661,Olaparib,KP2,5.205238
28662,Osimertinib,KP2,3.702149
28663,Oxaliplatin,KP2,6.647781
28664,P22077,KP2,5.973444
28665,PCI-34051,KP2,5.813256
28666,PD0325901,KP2,-0.224138
28667,PD173074,KP2,5.5207
28668,PFI-1,KP2,4.409519
28669,PFI3,KP2,6.491876
28670,PLX-4720,KP2,5.190314
28671,POMHEX,KP2,0.798259
28672,PRIMA-1MET,KP2,6.847197
28673,Paclitaxel,KP2,-1.911775
28674,Palbociclib,KP2,5.368702
28675,Picolinici-acid,KP2,6.070268
28676,Pictilisib,KP2,1.889999
28677,Podophyllotoxin bromide,KP2,3.109988
28678,Pyridostatin,KP2,3.001754
28679,RO-3306,KP2,6.817901
28680,RVX-208,KP2,5.887015
28681,Rapamycin,KP2,0.35638
28682,Remodelin,KP2,5.743038
28683,Romidepsin,KP2,-3.631368
28684,Rucaparib,KP2,5.775675
28685,Ruxolitinib,KP2,5.476788
28686,SB216763,KP2,5.177926
28687,SB590885,KP2,5.800706
28688,SCH772984,KP2,2.481707
28689,SGC-CBP30,KP2,5.31829
28690,SGC0946,KP2,1.840594
28691,Sabutoclax,KP2,1.868062
28692,Sapitinib,KP2,4.24375
28693,Schweinfurthin A,KP2,4.154529
28694,Selumetinib,KP2,2.822535
28695,Sepantronium bromide,KP2,-2.966625
28696,Serdemetan,KP2,6.423285
28697,Sinularin,KP2,4.032037
28698,Sorafenib,KP2,2.781177
28699,Staurosporine,KP2,-3.378891
28700,Talazoparib,KP2,4.80571
28701,Tamoxifen,KP2,5.897571
28702,Tanespimycin,KP2,-0.219557
28703,Taselisib,KP2,2.732893
28704,Telomerase Inhibitor IX,KP2,2.910983
28705,Temozolomide,KP2,7.150764
28706,Temsirolimus,KP2,4.191268
28707,Teniposide,KP2,2.361782
28708,Topotecan,KP2,3.824854
28709,Trametinib,KP2,-0.166943
28710,UMI-77,KP2,4.929052
28711,UNC0379,KP2,5.820994
28712,UNC0638,KP2,5.370665
28713,Ulixertinib,KP2,2.549987
28714,Uprosertib,KP2,4.535727
28715,VE-822,KP2,5.333291
28716,VE821,KP2,3.89866
28717,Veliparib,KP2,6.214141
28718,Venetoclax,KP2,5.321093
28719,Vinblastine,KP2,-1.539697
28720,Vincristine,KP2,2.011518
28721,Vinorelbine,KP2,-2.217377
28722,Vismodegib,KP2,6.053465
28723,Vorinostat,KP2,2.49208
28724,WEHI-539,KP2,2.860485
28725,WIKI4,KP2,4.231178
28726,Wee1 Inhibitor,KP2,2.98281
28727,XAV939,KP2,4.66186
28728,ZM447439,KP2,5.130654
28729,Zoledronate,KP2,4.219574
28730,alpha-lipoic acid,KP2,7.901477
28731,glutathione,KP2,10.374964
28732,5-Fluorouracil,NCIH1755,4.960387
28733,5-azacytidine,NCIH1755,3.572608
28734,A-366,NCIH1755,4.554473
28735,ABT737,NCIH1755,2.705783
28736,AGI-5198,NCIH1755,3.927876
28737,AGI-6780,NCIH1755,5.091716
28738,AGK2,NCIH1755,3.572572
28739,AMG-319,NCIH1755,3.544592
28740,AT13148,NCIH1755,2.73004
28741,AZ6102,NCIH1755,2.080418
28742,AZ960,NCIH1755,1.421056
28743,AZD1208,NCIH1755,3.976336
28744,AZD1332,NCIH1755,2.928642
28745,AZD2014,NCIH1755,2.025271
28746,AZD3759,NCIH1755,3.258225
28747,AZD4547,NCIH1755,2.606206
28748,AZD5153,NCIH1755,1.629234
28749,AZD5363,NCIH1755,2.24526
28750,AZD5438,NCIH1755,3.089241
28751,AZD5582,NCIH1755,0.224023
28752,AZD5991,NCIH1755,6.105106
28753,AZD6738,NCIH1755,0.48465
28754,AZD7762,NCIH1755,-2.016478
28755,AZD8055,NCIH1755,-0.907607
28756,AZD8186,NCIH1755,1.437013
28757,Acetalax,NCIH1755,6.108899
28758,Afatinib,NCIH1755,1.575456
28759,Afuresertib,NCIH1755,2.138565
28760,Alisertib,NCIH1755,1.685415
28761,Alpelisib,NCIH1755,2.481994
28762,Avagacestat,NCIH1755,5.932131
28763,Axitinib,NCIH1755,2.992032
28764,BI-2536,NCIH1755,-1.250367
28765,BIBR-1532,NCIH1755,5.9077
28766,BMS-345541,NCIH1755,4.058692
28767,Bleomycin (50 uM),NCIH1755,4.989282
28768,Bortezomib,NCIH1755,-5.3945
28769,Bosutinib,NCIH1755,1.443629
28770,Bromosporine,NCIH1755,2.551731
28771,Buparlisib,NCIH1755,0.69733
28772,CPI-637,NCIH1755,4.922576
28773,CZC24832,NCIH1755,3.740447
28774,Camptothecin,NCIH1755,-0.742291
28775,Carmustine,NCIH1755,7.055018
28776,Cediranib,NCIH1755,0.858849
28777,Cisplatin,NCIH1755,4.962087
28778,Crizotinib,NCIH1755,1.464198
28779,Cytarabine,NCIH1755,2.851897
28780,Dabrafenib,NCIH1755,3.887977
28781,Dacarbazine,NCIH1755,5.222516
28782,Dactolisib,NCIH1755,-2.33664
28783,Daporinad,NCIH1755,-3.435303
28784,Dasatinib,NCIH1755,-1.933662
28785,Dihydrorotenone,NCIH1755,2.238312
28786,Docetaxel,NCIH1755,-2.383951
28787,Doramapimod,NCIH1755,4.705879
28788,EHT-1864,NCIH1755,3.839041
28789,EPZ004777,NCIH1755,5.214433
28790,EPZ5676,NCIH1755,6.064118
28791,Elephantin,NCIH1755,3.802133
28792,Entinostat,NCIH1755,2.928442
28793,Entospletinib,NCIH1755,2.127388
28794,Epirubicin,NCIH1755,0.544345
28795,Erlotinib,NCIH1755,3.117152
28796,Foretinib,NCIH1755,-0.401304
28797,Fulvestrant,NCIH1755,4.100172
28798,GNE-317,NCIH1755,-0.957537
28799,GSK-LSD1,NCIH1755,3.47668
28800,GSK1904529A,NCIH1755,4.707873
28801,GSK2110183B,NCIH1755,3.312946
28802,GSK2578215A,NCIH1755,5.408109
28803,GSK2606414,NCIH1755,4.297424
28804,GSK2801,NCIH1755,5.390847
28805,GSK2830371,NCIH1755,6.105106
28806,GSK591,NCIH1755,4.3576
28807,GW441756,NCIH1755,2.958571
28808,Gallibiscoquinazole,NCIH1755,3.670198
28809,Gefitinib,NCIH1755,4.216369
28810,Gemcitabine,NCIH1755,1.61108
28811,I-BET-762,NCIH1755,2.498039
28812,I-BRD9,NCIH1755,4.308829
28813,ICL-SIRT078,NCIH1755,4.751389
28814,IWP-2,NCIH1755,3.222836
28815,Ibrutinib,NCIH1755,5.083424
28816,Ipatasertib,NCIH1755,2.891404
28817,Irinotecan,NCIH1755,4.047599
28818,JNK Inhibitor VIII,NCIH1755,5.520523
28819,JQ1,NCIH1755,1.821018
28820,KRAS (G12C) Inhibitor-12,NCIH1755,6.447794
28821,KU-55933,NCIH1755,4.688442
28822,L-Oxonoreleagnine,NCIH1755,4.577687
28823,LCL161,NCIH1755,4.176208
28824,LGK974,NCIH1755,4.856482
28825,LJI308,NCIH1755,5.663573
28826,LY2109761,NCIH1755,6.08156
28827,Lapatinib,NCIH1755,2.94785
28828,Leflunomide,NCIH1755,5.477887
28829,Lenalidomide,NCIH1755,6.04531
28830,Lestaurtinib,NCIH1755,-2.163328
28831,Linsitinib,NCIH1755,3.222
28832,MG-132,NCIH1755,-1.305483
28833,MIM1,NCIH1755,5.247047
28834,MIRA-1,NCIH1755,5.978716
28835,MK-1775,NCIH1755,-0.617674
28836,MK-2206,NCIH1755,2.104088
28837,MK-8776,NCIH1755,1.049768
28838,ML323,NCIH1755,6.673899
28839,MN-64,NCIH1755,5.014831
28840,Methotrexate,NCIH1755,-0.996188
28841,Mitoxantrone,NCIH1755,4.483253
28842,Motesanib,NCIH1755,6.098719
28843,Mycophenolic acid,NCIH1755,3.675738
28844,N-acetyl cysteine,NCIH1755,10.908374
28845,NU7441,NCIH1755,1.782949
28846,NVP-ADW742,NCIH1755,1.831822
28847,Navitoclax,NCIH1755,3.214312
28848,Nelarabine,NCIH1755,5.641207
28849,Nilotinib,NCIH1755,4.225198
28850,Niraparib,NCIH1755,4.731597
28851,Nutlin-3a (-),NCIH1755,5.403792
28852,OF-1,NCIH1755,5.816389
28853,OSI-027,NCIH1755,1.425384
28854,OTX015,NCIH1755,1.001285
28855,Obatoclax Mesylate,NCIH1755,0.636057
28856,Olaparib,NCIH1755,5.090657
28857,Osimertinib,NCIH1755,1.893608
28858,Oxaliplatin,NCIH1755,6.365691
28859,P22077,NCIH1755,5.654814
28860,PCI-34051,NCIH1755,4.108686
28861,PD0325901,NCIH1755,1.460466
28862,PD173074,NCIH1755,2.49369
28863,PFI-1,NCIH1755,4.887745
28864,PFI3,NCIH1755,5.739064
28865,PLX-4720,NCIH1755,3.441975
28866,POMHEX,NCIH1755,2.31975
28867,PRIMA-1MET,NCIH1755,3.256467
28868,Paclitaxel,NCIH1755,-3.745095
28869,Palbociclib,NCIH1755,2.175911
28870,Picolinici-acid,NCIH1755,5.957717
28871,Pictilisib,NCIH1755,0.281529
28872,Podophyllotoxin bromide,NCIH1755,-0.102256
28873,Pyridostatin,NCIH1755,2.52457
28874,RO-3306,NCIH1755,2.76211
28875,RVX-208,NCIH1755,3.309223
28876,Rapamycin,NCIH1755,-0.000675
28877,Romidepsin,NCIH1755,-6.225482
28878,Rucaparib,NCIH1755,4.255297
28879,Ruxolitinib,NCIH1755,4.466627
28880,SB216763,NCIH1755,4.425402
28881,SB590885,NCIH1755,5.332815
28882,SCH772984,NCIH1755,1.368044
28883,SGC-CBP30,NCIH1755,4.922178
28884,SGC0946,NCIH1755,2.516616
28885,Sabutoclax,NCIH1755,3.126201
28886,Sapitinib,NCIH1755,4.320519
28887,Schweinfurthin A,NCIH1755,0.504236
28888,Selumetinib,NCIH1755,4.719392
28889,Sepantronium bromide,NCIH1755,-5.106163
28890,Serdemetan,NCIH1755,4.153918
28891,Sinularin,NCIH1755,4.741063
28892,Sorafenib,NCIH1755,2.507546
28893,Staurosporine,NCIH1755,-5.679838
28894,TW 37,NCIH1755,1.914048
28895,Talazoparib,NCIH1755,3.376494
28896,Tamoxifen,NCIH1755,2.832519
28897,Tanespimycin,NCIH1755,-2.141315
28898,Taselisib,NCIH1755,1.73062
28899,Telomerase Inhibitor IX,NCIH1755,0.204709
28900,Temozolomide,NCIH1755,7.581301
28901,Temsirolimus,NCIH1755,0.645987
28902,Teniposide,NCIH1755,3.375628
28903,Topotecan,NCIH1755,2.527098
28904,Trametinib,NCIH1755,-0.867438
28905,UMI-77,NCIH1755,1.777492
28906,UNC0379,NCIH1755,2.744785
28907,UNC0638,NCIH1755,3.994179
28908,Ulixertinib,NCIH1755,1.733884
28909,Uprosertib,NCIH1755,2.307247
28910,VE-822,NCIH1755,3.712397
28911,VE821,NCIH1755,2.61957
28912,Veliparib,NCIH1755,4.466754
28913,Venetoclax,NCIH1755,3.321696
28914,Vinblastine,NCIH1755,-3.787997
28915,Vincristine,NCIH1755,0.302117
28916,Vinorelbine,NCIH1755,-3.301048
28917,Vismodegib,NCIH1755,5.106574
28918,Vorinostat,NCIH1755,1.327323
28919,WEHI-539,NCIH1755,4.307273
28920,WIKI4,NCIH1755,3.038936
28921,Wee1 Inhibitor,NCIH1755,0.888821
28922,XAV939,NCIH1755,4.846866
28923,ZM447439,NCIH1755,1.39463
28924,Zoledronate,NCIH1755,4.336542
28925,alpha-lipoic acid,NCIH1755,7.882044
28926,glutathione,NCIH1755,9.148702
28927,5-Fluorouracil,NUDUL1,2.245944
28928,ABT737,NUDUL1,1.753289
28929,AGI-5198,NUDUL1,3.653833
28930,AGI-6780,NUDUL1,4.047346
28931,AMG-319,NUDUL1,0.97243
28932,AT13148,NUDUL1,1.878038
28933,AZ6102,NUDUL1,1.567146
28934,AZ960,NUDUL1,-0.353932
28935,AZD3759,NUDUL1,2.093852
28936,AZD4547,NUDUL1,2.653589
28937,AZD5363,NUDUL1,-0.253841
28938,AZD5582,NUDUL1,1.388375
28939,AZD6482,NUDUL1,0.937448
28940,AZD6738,NUDUL1,-1.453065
28941,AZD7762,NUDUL1,-3.112692
28942,AZD8186,NUDUL1,-0.189017
28943,Afatinib,NUDUL1,0.574588
28944,Afuresertib,NUDUL1,-0.49977
28945,Alisertib,NUDUL1,-2.95089
28946,Alpelisib,NUDUL1,1.82756
28947,Avagacestat,NUDUL1,3.449684
28948,Axitinib,NUDUL1,1.544826
28949,BI-2536,NUDUL1,-4.593255
28950,BIBR-1532,NUDUL1,4.275021
28951,BMS-345541,NUDUL1,1.537533
28952,BX795,NUDUL1,2.68443
28953,Bicalutamide,NUDUL1,1.684466
28954,Bortezomib,NUDUL1,-6.41809
28955,Bosutinib,NUDUL1,-0.001265
28956,Buparlisib,NUDUL1,0.440601
28957,CCT-018159,NUDUL1,2.164281
28958,CHIR-99021,NUDUL1,4.665793
28959,CZC24832,NUDUL1,3.052337
28960,Camptothecin,NUDUL1,-4.794345
28961,Cediranib,NUDUL1,1.690257
28962,Crizotinib,NUDUL1,1.157723
28963,Dabrafenib,NUDUL1,3.423657
28964,Dactolisib,NUDUL1,-2.85801
28965,Daporinad,NUDUL1,-6.260943
28966,Dasatinib,NUDUL1,-2.99629
28967,Docetaxel,NUDUL1,-6.423833
28968,Doramapimod,NUDUL1,2.96915
28969,EHT-1864,NUDUL1,3.685578
28970,EPZ004777,NUDUL1,2.77552
28971,EPZ5676,NUDUL1,2.685046
28972,Elesclomol,NUDUL1,-3.976287
28973,Entinostat,NUDUL1,-0.854657
28974,Entospletinib,NUDUL1,2.434867
28975,Epirubicin,NUDUL1,-3.26094
28976,Erlotinib,NUDUL1,2.994776
28977,Foretinib,NUDUL1,0.593485
28978,Fulvestrant,NUDUL1,2.135487
28979,GNE-317,NUDUL1,-0.291973
28980,GSK1904529A,NUDUL1,2.832915
28981,GSK2578215A,NUDUL1,4.007301
28982,GSK2606414,NUDUL1,3.783254
28983,GSK269962A,NUDUL1,1.360188
28984,GSK591,NUDUL1,2.761791
28985,GW441756,NUDUL1,2.296111
28986,Gefitinib,NUDUL1,2.826808
28987,Gemcitabine,NUDUL1,-6.28216
28988,I-BET-762,NUDUL1,-0.041288
28989,I-BRD9,NUDUL1,2.711957
28990,IOX2,NUDUL1,1.693791
28991,IWP-2,NUDUL1,1.971803
28992,Ibrutinib,NUDUL1,0.38299
28993,Ipatasertib,NUDUL1,-0.073449
28994,Irinotecan,NUDUL1,-1.193868
28995,JNK Inhibitor VIII,NUDUL1,4.149149
28996,JQ1,NUDUL1,-1.495451
28997,KRAS (G12C) Inhibitor-12,NUDUL1,1.81161
28998,KU-55933,NUDUL1,2.137705
28999,LCL161,NUDUL1,4.060237
29000,LGK974,NUDUL1,3.55801
29001,LJI308,NUDUL1,4.18901
29002,LY2109761,NUDUL1,4.096235
29003,Lapatinib,NUDUL1,2.343309
29004,Leflunomide,NUDUL1,3.465141
29005,Lenalidomide,NUDUL1,4.438072
29006,Lestaurtinib,NUDUL1,-2.5739
29007,Linsitinib,NUDUL1,3.355924
29008,MG-132,NUDUL1,-1.456185
29009,MIRA-1,NUDUL1,1.652622
29010,MK-1775,NUDUL1,-2.284881
29011,MK-2206,NUDUL1,-0.918917
29012,MK-8776,NUDUL1,-0.541796
29013,ML323,NUDUL1,3.64186
29014,MN-64,NUDUL1,4.566515
29015,Methotrexate,NUDUL1,2.134255
29016,Motesanib,NUDUL1,4.438072
29017,NU7441,NUDUL1,0.630034
29018,NVP-ADW742,NUDUL1,2.636677
29019,Navitoclax,NUDUL1,2.0042
29020,Nilotinib,NUDUL1,2.573092
29021,Niraparib,NUDUL1,0.943833
29022,Nutlin-3a (-),NUDUL1,2.668739
29023,OF-1,NUDUL1,3.946382
29024,OSI-027,NUDUL1,1.126241
29025,OTX015,NUDUL1,-1.487204
29026,Olaparib,NUDUL1,1.630364
29027,Osimertinib,NUDUL1,0.971714
29028,Oxaliplatin,NUDUL1,0.238593
29029,P22077,NUDUL1,1.762575
29030,PCI-34051,NUDUL1,1.644283
29031,PD0325901,NUDUL1,1.509221
29032,PD173074,NUDUL1,3.100345
29033,PF-4708671,NUDUL1,0.284158
29034,PFI-1,NUDUL1,2.292292
29035,PFI3,NUDUL1,4.711057
29036,PLX-4720,NUDUL1,3.230741
29037,PRIMA-1MET,NUDUL1,-0.473163
29038,Paclitaxel,NUDUL1,-5.488602
29039,Palbociclib,NUDUL1,0.984247
29040,Picolinici-acid,NUDUL1,4.710962
29041,Pictilisib,NUDUL1,-1.730113
29042,Piperlongumine,NUDUL1,0.261198
29043,Pyridostatin,NUDUL1,1.714383
29044,RO-3306,NUDUL1,1.563456
29045,RVX-208,NUDUL1,2.739703
29046,Rapamycin,NUDUL1,-5.77493
29047,Rucaparib,NUDUL1,2.136279
29048,Ruxolitinib,NUDUL1,3.908228
29049,SB216763,NUDUL1,4.438072
29050,SB590885,NUDUL1,3.441998
29051,SCH772984,NUDUL1,1.704167
29052,SGC0946,NUDUL1,1.706498
29053,SL0101,NUDUL1,3.968683
29054,Sabutoclax,NUDUL1,-2.851293
29055,Sapitinib,NUDUL1,0.833586
29056,Selumetinib,NUDUL1,2.621476
29057,Sepantronium bromide,NUDUL1,-6.002055
29058,Serdemetan,NUDUL1,1.453149
29059,Sorafenib,NUDUL1,1.093496
29060,Staurosporine,NUDUL1,-4.072135
29061,Talazoparib,NUDUL1,-2.01036
29062,Tamoxifen,NUDUL1,1.989483
29063,Tanespimycin,NUDUL1,0.18428
29064,Taselisib,NUDUL1,-2.554311
29065,Telomerase Inhibitor IX,NUDUL1,-0.885012
29066,Temozolomide,NUDUL1,4.38586
29067,Tozasertib,NUDUL1,-2.160858
29068,Trametinib,NUDUL1,0.706604
29069,Tretinoin,NUDUL1,3.401393
29070,Ulixertinib,NUDUL1,2.930684
29071,Uprosertib,NUDUL1,-0.436551
29072,VE-822,NUDUL1,-1.311095
29073,VE821,NUDUL1,0.44973
29074,Veliparib,NUDUL1,3.810093
29075,Venetoclax,NUDUL1,2.443204
29076,Vinorelbine,NUDUL1,-5.910686
29077,Vismodegib,NUDUL1,3.732403
29078,Vorinostat,NUDUL1,0.022856
29079,WEHI-539,NUDUL1,2.677231
29080,WIKI4,NUDUL1,3.29276
29081,Wee1 Inhibitor,NUDUL1,-0.688172
29082,XAV939,NUDUL1,2.893274
29083,ZM447439,NUDUL1,0.711214
29084,5-Fluorouracil,BT549,4.980699
29085,5-azacytidine,BT549,4.156015
29086,A-366,BT549,5.508426
29087,ABT737,BT549,3.236867
29088,AGI-5198,BT549,5.477719
29089,AGI-6780,BT549,5.107748
29090,AGK2,BT549,3.759409
29091,AMG-319,BT549,5.261158
29092,AT13148,BT549,1.940925
29093,AZ6102,BT549,2.806063
29094,AZ960,BT549,2.345249
29095,AZD1208,BT549,5.943869
29096,AZD1332,BT549,4.20121
29097,AZD2014,BT549,2.76477
29098,AZD3759,BT549,3.756761
29099,AZD4547,BT549,4.488108
29100,AZD5153,BT549,1.721116
29101,AZD5363,BT549,2.707118
29102,AZD5438,BT549,2.991429
29103,AZD5582,BT549,0.534997
29104,AZD5991,BT549,4.790073
29105,AZD6482,BT549,3.517147
29106,AZD6738,BT549,1.460091
29107,AZD7762,BT549,-1.260045
29108,AZD8055,BT549,-0.652328
29109,AZD8186,BT549,3.197788
29110,Acetalax,BT549,1.717313
29111,Afatinib,BT549,2.039331
29112,Afuresertib,BT549,2.035401
29113,Alisertib,BT549,2.452697
29114,Alpelisib,BT549,4.2128
29115,Avagacestat,BT549,5.273675
29116,Axitinib,BT549,2.622629
29117,BI-2536,BT549,-1.222718
29118,BIBR-1532,BT549,6.472755
29119,BMS-345541,BT549,4.375547
29120,Bleomycin (50 uM),BT549,5.585174
29121,Bortezomib,BT549,-4.990828
29122,Bosutinib,BT549,3.582239
29123,Bromosporine,BT549,2.237509
29124,Buparlisib,BT549,1.565184
29125,CPI-637,BT549,3.50129
29126,CZC24832,BT549,4.723296
29127,Camptothecin,BT549,-0.846118
29128,Carmustine,BT549,7.489206
29129,Cediranib,BT549,1.76835
29130,Cisplatin,BT549,5.729519
29131,Crizotinib,BT549,2.824221
29132,Cytarabine,BT549,2.80778
29133,Dabrafenib,BT549,5.619476
29134,Dacarbazine,BT549,7.059994
29135,Dactolisib,BT549,-2.224816
29136,Daporinad,BT549,2.747072
29137,Dasatinib,BT549,0.777703
29138,Dihydrorotenone,BT549,2.476535
29139,Docetaxel,BT549,-3.361115
29140,Doramapimod,BT549,5.398891
29141,EHT-1864,BT549,4.62669
29142,EPZ004777,BT549,6.144413
29143,EPZ5676,BT549,6.773213
29144,Elephantin,BT549,3.307125
29145,Entinostat,BT549,1.738882
29146,Entospletinib,BT549,3.815284
29147,Epirubicin,BT549,-0.670156
29148,Erlotinib,BT549,4.939528
29149,Foretinib,BT549,2.33473
29150,Fulvestrant,BT549,4.484046
29151,GNE-317,BT549,0.663186
29152,GSK-LSD1,BT549,2.874421
29153,GSK1904529A,BT549,4.277735
29154,GSK2110183B,BT549,4.175965
29155,GSK2578215A,BT549,4.546022
29156,GSK2606414,BT549,5.46029
29157,GSK269962A,BT549,1.014187
29158,GSK2801,BT549,5.779341
29159,GSK2830371,BT549,6.228404
29160,GSK591,BT549,5.299651
29161,GW441756,BT549,4.429174
29162,Gallibiscoquinazole,BT549,3.139971
29163,Gefitinib,BT549,4.565935
29164,Gemcitabine,BT549,3.295814
29165,I-BET-762,BT549,2.009438
29166,I-BRD9,BT549,3.763202
29167,ICL-SIRT078,BT549,4.78274
29168,IWP-2,BT549,3.717537
29169,Ibrutinib,BT549,5.560827
29170,Ipatasertib,BT549,2.959665
29171,Irinotecan,BT549,3.29084
29172,JNK Inhibitor VIII,BT549,5.473474
29173,JQ1,BT549,3.117872
29174,KRAS (G12C) Inhibitor-12,BT549,5.080628
29175,KU-55933,BT549,3.956101
29176,L-Oxonoreleagnine,BT549,4.327832
29177,LCL161,BT549,4.527154
29178,LGK974,BT549,5.886982
29179,LJI308,BT549,6.10701
29180,LY2109761,BT549,5.874845
29181,Lapatinib,BT549,3.193742
29182,Leflunomide,BT549,5.743519
29183,Lenalidomide,BT549,6.206726
29184,Lestaurtinib,BT549,-0.019734
29185,Linsitinib,BT549,5.372925
29186,MG-132,BT549,-1.765835
29187,MIM1,BT549,4.12724
29188,MIRA-1,BT549,6.594322
29189,MK-1775,BT549,0.452136
29190,MK-2206,BT549,2.260112
29191,MK-8776,BT549,2.592266
29192,ML323,BT549,5.068704
29193,MN-64,BT549,4.427093
29194,Methotrexate,BT549,0.085374
29195,Mitoxantrone,BT549,0.922792
29196,Motesanib,BT549,6.426421
29197,Mycophenolic acid,BT549,2.976363
29198,N-acetyl cysteine,BT549,10.812815
29199,NU7441,BT549,1.57238
29200,NVP-ADW742,BT549,2.807072
29201,Navitoclax,BT549,1.113898
29202,Nelarabine,BT549,7.109373
29203,Nilotinib,BT549,1.798265
29204,Niraparib,BT549,5.101452
29205,Nutlin-3a (-),BT549,6.168204
29206,OF-1,BT549,5.656406
29207,OSI-027,BT549,2.754284
29208,OTX015,BT549,2.696173
29209,Obatoclax Mesylate,BT549,1.952437
29210,Olaparib,BT549,5.552938
29211,Osimertinib,BT549,2.354853
29212,Oxaliplatin,BT549,6.277727
29213,P22077,BT549,5.106475
29214,PCI-34051,BT549,6.18551
29215,PD0325901,BT549,3.930913
29216,PD173074,BT549,2.331391
29217,PF-4708671,BT549,4.277474
29218,PFI-1,BT549,2.877781
29219,PFI3,BT549,6.333552
29220,PLX-4720,BT549,4.805634
29221,POMHEX,BT549,1.786951
29222,PRIMA-1MET,BT549,5.852032
29223,Paclitaxel,BT549,-4.239301
29224,Palbociclib,BT549,4.837125
29225,Picolinici-acid,BT549,5.684061
29226,Pictilisib,BT549,1.351051
29227,Podophyllotoxin bromide,BT549,-0.223995
29228,Pyridostatin,BT549,3.230943
29229,RO-3306,BT549,2.057723
29230,RVX-208,BT549,3.722267
29231,Rapamycin,BT549,-2.890636
29232,Romidepsin,BT549,-4.481423
29233,Rucaparib,BT549,5.535598
29234,Ruxolitinib,BT549,6.584831
29235,SB216763,BT549,5.749093
29236,SB590885,BT549,4.815594
29237,SCH772984,BT549,3.700997
29238,SGC-CBP30,BT549,5.180387
29239,SGC0946,BT549,2.227149
29240,Sabutoclax,BT549,0.015315
29241,Sapitinib,BT549,5.700581
29242,Schweinfurthin A,BT549,2.616517
29243,Selumetinib,BT549,5.820319
29244,Sepantronium bromide,BT549,-2.300632
29245,Serdemetan,BT549,4.50839
29246,Sinularin,BT549,4.070375
29247,Sorafenib,BT549,2.888781
29248,Staurosporine,BT549,-4.273889
29249,TW 37,BT549,1.997047
29250,Talazoparib,BT549,3.73748
29251,Tamoxifen,BT549,3.943827
29252,Tanespimycin,BT549,0.388955
29253,Taselisib,BT549,2.6838
29254,Telomerase Inhibitor IX,BT549,0.845801
29255,Temozolomide,BT549,8.457597
29256,Temsirolimus,BT549,1.36211
29257,Teniposide,BT549,1.506413
29258,Topotecan,BT549,1.019191
29259,Tozasertib,BT549,2.951731
29260,Trametinib,BT549,2.495302
29261,UMI-77,BT549,1.899279
29262,UNC0379,BT549,5.766037
29263,UNC0638,BT549,5.608385
29264,Ulixertinib,BT549,5.546862
29265,Uprosertib,BT549,3.151238
29266,VE-822,BT549,2.59981
29267,VE821,BT549,4.733791
29268,Veliparib,BT549,6.212372
29269,Venetoclax,BT549,5.249051
29270,Vinblastine,BT549,-2.182955
29271,Vincristine,BT549,-1.210828
29272,Vinorelbine,BT549,-1.946563
29273,Vismodegib,BT549,5.591924
29274,Vorinostat,BT549,3.583752
29275,WEHI-539,BT549,4.75548
